volatileacidity,citricacid,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,sulphates,alcohol
0.25,0.27,11.5,0.04,24,120,0.9940000000000001,0.31,10.8
0.36,0.27,6.3,0.027999999999999997,40,132,0.992,0.4,11.6
0.33,0.25,1.6,0.03,25,126,0.99,0.34,12.1
0.18,0.31,10.6,0.035,42,143,0.996,0.49,9.8
0.22,0.37,1.7,0.036000000000000004,38,195,0.991,0.72,12.5
0.28,0.25,11.9,0.053,25,148,0.998,0.62,9.2
0.27,0.26,11.8,0.053,55,173,0.997,0.6,9.8
0.33,0.26,2.6,0.04,29,115,0.991,0.52,11.8
0.33,0.22,1.6,0.027000000000000003,18,89,0.9890000000000001,0.38,12.5
0.2,0.28,1.0,0.043,45,100,0.99,0.41,11.4
0.34,0.26,1.9,0.038,58,138,0.9890000000000001,0.47,12.2
0.23,0.42,18.1,0.05,35,144,1.0,0.42,8.8
0.17,0.24,1.1,0.051,25,105,0.993,0.47,9.1
0.39,0.24,4.8,0.037000000000000005,45,138,0.992,0.43,11.2
0.27,0.33,1.4,0.042,24,183,0.992,0.46,10.7
0.35,0.48,8.8,0.055999999999999994,35,167,0.996,0.47,9.4
0.36,0.27,3.2,0.032,13,73,0.9890000000000001,0.69,12.6
0.24,0.36,2.8,0.034,22,112,0.99,0.38,12.6
0.28,0.46,3.2,0.057999999999999996,39,133,0.996,0.58,9.5
0.24,0.4,4.3,0.032,9,95,0.992,0.39,11.1
0.23,0.3,2.1,0.049,21,153,0.995,0.5,9.6
0.38,0.26,5.2,0.042,33,112,0.991,0.5,12.3
0.35,0.17,1.1,0.049,7,119,0.993,0.36,9.7
0.41,0.51,2.0,0.046,11,207,0.993,0.55,11.4
0.23,0.24,5.4,0.039,60,196,0.995,0.78,10.0
0.36,0.58,15.0,0.044000000000000004,42,115,0.998,0.51,9.0
0.29,0.42,1.3,0.035,18,86,0.991,0.39,11.3
0.25,0.32,5.5,0.049,41,176,0.995,0.68,9.2
0.3,0.26,1.1,0.035,40,102,0.992,0.56,10.6
0.28,0.19,5.4,0.042,67,181,0.9940000000000001,0.35,10.2
0.31,0.21,6.3,0.040999999999999995,50,218,0.9940000000000001,0.6,10.0
0.66,0.2,10.2,0.071,28,212,0.997,0.58,9.2
0.28,0.27,15.5,0.036000000000000004,31,134,0.9940000000000001,0.44,13.0
0.42,0.32,6.5,0.027000000000000003,20,167,0.995,0.43,10.6
0.26,0.49,5.0,0.027999999999999997,32,107,0.9940000000000001,0.54,10.8
0.38,0.2,3.4,0.046,9,116,0.9940000000000001,0.41,9.4
0.6,0.2,9.9,0.07,21,174,0.997,0.54,9.1
0.25,0.34,3.0,0.054000000000000006,22,141,0.993,0.47,10.4
0.34,0.27,2.6,0.024,20,105,0.991,0.67,12.2
0.36,0.45,10.4,0.06,22,184,0.997,0.56,9.8
0.31,0.36,4.3,0.026000000000000002,15,87,0.992,0.48,12.0
0.32,0.3,8.3,0.02,14,104,0.9940000000000001,0.44,11.4
0.34,0.22,1.4,0.044000000000000004,43,176,0.993,0.46,9.9
0.22,0.38,9.1,0.044000000000000004,35,127,0.993,0.3,11.0
0.28,0.49,6.8,0.048,61,222,0.995,0.47,9.3
0.31,0.49,1.3,0.042,34,147,0.995,0.46,9.8
0.19,0.34,2.6,0.037000000000000005,33,125,0.992,0.49,11.1
0.14,0.46,1.6,0.036000000000000004,15,92,0.993,0.49,10.9
0.25,0.3,14.4,0.052000000000000005,40,183,0.998,0.5,9.1
0.25,0.45,7.8,0.048,52,188,0.996,0.53,9.1
0.26,0.29,1.4,0.039,13,67,0.992,0.49,10.9
0.26,0.28,9.4,0.027999999999999997,13,121,0.993,0.34,12.1
0.21,0.24,4.4,0.027000000000000003,37,150,0.991,0.31,11.5
0.19,0.39,1.2,0.036000000000000004,32,85,0.992,0.5,10.5
0.31,0.49,13.4,0.062,50,191,0.9990000000000001,0.53,9.0
0.31,0.32,1.2,0.024,20,166,0.992,0.54,9.8
0.22,0.26,1.5,0.04,32,172,0.992,0.48,11.2
0.33,0.21,1.0,0.053,39,148,0.993,0.45,9.4
0.43,0.4,12.4,0.168,29,190,0.9990000000000001,0.64,9.2
0.56,0.26,4.5,0.053,17,126,0.9940000000000001,0.46,9.1
0.29,0.36,15.7,0.05,29,124,0.997,0.54,10.4
0.45,0.42,1.1,0.051,61,197,0.993,0.4,9.0
0.25,0.36,2.1,0.05,31,100,0.992,0.44,10.8
0.14,0.38,1.0,0.040999999999999995,22,81,0.99,0.54,11.4
0.38,0.33,9.2,0.043,19,116,0.9940000000000001,0.42,11.4
0.37,0.33,1.2,0.027999999999999997,13,81,0.99,0.38,11.7
0.16,0.32,12.5,0.035,18,156,0.997,0.36,9.0
0.22,0.32,7.2,0.027999999999999997,15,83,0.993,0.55,10.9
0.24,0.28,4.0,0.038,61,134,0.991,0.54,11.3
0.32,0.26,7.9,0.05,53,180,0.995,0.5,9.6
0.44,0.27,8.4,0.057,60,160,0.993,0.36,11.8
0.23,0.42,7.4,0.044000000000000004,56,189,0.996,0.48,9.3
0.44,0.13,7.0,0.025,28,173,0.991,0.48,12.5
0.21,0.37,7.0,0.038,27,107,0.992,0.82,11.5
0.56,0.22,8.9,0.034,27,133,0.997,0.51,9.1
0.16,0.34,2.3,0.045,74,214,0.993,0.61,9.9
0.29,0.21,9.7,0.040999999999999995,36,119,0.993,0.34,10.9
0.16,0.39,1.0,0.027999999999999997,40,101,0.992,0.59,10.6
0.44,0.18,7.7,0.096,28,210,0.998,0.72,9.2
0.18,0.37,1.3,0.04,15,96,0.991,0.61,12.1
0.14,0.18,1.4,0.047,30,90,0.992,0.54,11.2
0.17,0.26,7.4,0.052000000000000005,45,128,0.9940000000000001,0.37,10.0
0.23,0.38,6.1,0.067,20,90,0.995,0.79,9.7
0.56,0.22,8.9,0.034,27,133,0.997,0.51,9.1
0.45,0.4,1.5,0.067,17,100,0.996,0.57,10.1
0.2,0.24,1.7,0.052000000000000005,36,135,0.9940000000000001,0.66,10.8
0.3,0.33,3.5,0.037000000000000005,37,155,0.99,0.37,12.4
0.47,0.65,8.3,0.083,27,182,0.996,0.35,9.2
0.14,0.25,4.5,0.027000000000000003,34,140,0.993,0.51,10.8
0.17,0.29,1.1,0.040999999999999995,32,92,0.99,0.57,11.2
0.33,0.64,13.2,0.055999999999999994,12,105,0.997,0.39,9.2
0.24,0.29,13.7,0.035,53,134,0.996,0.38,10.6
0.1,0.33,1.0,0.031,33,93,0.991,0.68,11.2
0.14,0.27,4.6,0.028999999999999998,22,104,0.995,0.44,9.0
0.31,0.51,14.8,0.039,62,204,0.998,0.6,9.5
0.15,0.44,1.2,0.043,67,150,0.991,0.73,11.2
0.38,0.26,6.0,0.034,42,134,0.991,0.38,12.3
0.16,0.3,4.8,0.037000000000000005,37,171,0.997,0.44,9.0
0.23,0.5,10.4,0.043,61,132,0.995,0.46,9.1
0.18,0.49,5.2,0.051,36,157,0.995,0.48,10.6
0.18,0.41,14.2,0.039,47,129,0.997,0.72,10.3
0.19,0.27,0.9,0.04,52,103,0.99,0.39,11.2
0.18,0.28,9.8,0.039,29,113,0.9940000000000001,0.45,10.9
0.19,0.32,7.9,0.042,30,130,0.995,0.39,10.5
0.17,0.37,2.0,0.039,34,125,0.992,0.6,10.8
0.21,0.34,6.6,0.03,36,91,0.991,0.45,12.5
0.21,0.34,1.5,0.035,45,123,0.9890000000000001,0.36,12.6
0.21,0.31,1.7,0.06,34,110,0.996,0.69,10.5
0.28,0.35,15.3,0.055999999999999994,31,117,1.0,0.5,9.6
0.27,0.46,8.7,0.048,39,197,0.997,0.59,9.6
0.23,0.48,1.5,0.036000000000000004,35,165,0.992,0.45,11.3
0.42,0.49,8.2,0.055999999999999994,32,164,0.997,0.6,11.2
0.26,0.3,2.0,0.031,13,128,0.992,0.49,11.4
0.35,0.31,18.0,0.062,42,187,1.0,0.64,9.1
0.42,0.46,8.4,0.05,58,180,0.995,0.46,9.7
0.17,0.28,1.1,0.034,55,108,0.9890000000000001,0.52,11.9
0.23,0.42,5.1,0.042,37,144,0.995,0.59,10.2
0.3,0.5,12.1,0.045,38,127,0.997,0.53,8.9
0.21,0.28,5.9,0.047,29,101,0.993,0.4,11.0
0.33,0.21,1.0,0.053,39,148,0.993,0.45,9.4
0.21,0.32,4.8,0.055999999999999994,39,113,0.9940000000000001,0.52,10.2
0.19,0.32,3.7,0.040999999999999995,26,76,0.992,0.57,10.5
0.27,0.12,1.3,0.04,87,168,0.992,0.41,10.0
0.22,0.32,5.9,0.054000000000000006,40,152,0.9940000000000001,0.57,10.8
0.46,0.65,10.4,0.05,76,192,0.998,0.42,8.7
0.21,0.34,8.5,0.033,31,253,0.995,0.56,10.5
0.18,0.46,12.6,0.042,41,143,1.0,0.76,8.5
0.23,0.35,1.4,0.036000000000000004,31,113,0.991,0.48,10.8
0.51,0.26,3.3,0.09,7,135,0.9940000000000001,0.52,8.8
0.32,0.35,4.8,0.03,34,101,0.991,0.6,12.5
0.36,0.29,1.6,0.021,24,85,0.99,0.61,12.4
0.17,0.35,1.8,0.04,29,84,0.99,0.57,12.0
0.32,0.24,1.5,0.036000000000000004,38,124,0.99,0.42,12.4
0.22,0.38,2.8,0.14400000000000002,12,65,0.991,0.64,11.4
0.24,0.27,1.8,0.051,52,190,0.993,0.5,10.8
0.25,0.38,5.9,0.045,52,159,0.995,0.35,10.2
0.39,0.3,5.2,0.037000000000000005,29,131,0.9940000000000001,0.44,11.0
0.35,0.28,1.6,0.037000000000000005,31,113,0.988,0.4,14.2
0.39,0.4,4.6,0.022000000000000002,5,19,0.992,0.37,12.6
0.38,0.25,9.8,0.04,28,191,0.997,0.61,9.2
0.19,0.26,12.4,0.048,50,147,0.997,0.36,8.9
0.26,0.27,18.2,0.048,52,168,0.9990000000000001,0.44,9.4
0.3,0.2,6.6,0.045,42,170,0.9940000000000001,0.45,10.4
0.26,0.34,16.3,0.051,56,197,1.0,0.42,9.8
0.37,0.28,4.0,0.03,29,79,0.99,0.46,12.4
0.41,0.24,14.0,0.048,24,113,0.998,0.53,9.8
0.26,0.47,1.6,0.068,5,55,0.9940000000000001,0.45,9.6
0.16,0.4,1.5,0.044000000000000004,48,143,0.991,0.52,12.4
0.21,0.37,4.5,0.04,58,140,0.993,0.62,10.6
0.23,0.39,1.9,0.036000000000000004,41,98,0.99,0.43,11.9
0.15,0.3,1.6,0.046,29,130,0.9940000000000001,0.38,9.8
0.43,0.28,12.0,0.055999999999999994,23,174,0.9990000000000001,0.55,9.3
0.27,0.26,11.8,0.053,55,173,0.997,0.6,9.8
0.16,0.34,0.8,0.028999999999999998,26,77,0.992,0.51,10.1
0.26,0.19,8.2,0.051,53,187,0.996,0.52,9.7
0.26,0.49,5.0,0.027999999999999997,32,107,0.9940000000000001,0.54,10.8
0.21,0.28,7.5,0.07,45,185,0.997,0.55,9.4
0.29,0.25,1.4,0.033,30,114,0.988,0.43,13.2
0.3,0.49,8.1,0.037000000000000005,26,174,0.9940000000000001,0.3,11.2
0.27,0.51,7.6,0.049,35,200,0.995,0.54,9.4
0.17,0.54,8.5,0.08199999999999999,64,163,0.996,0.39,8.8
0.3,0.48,7.4,0.053,34,149,0.995,0.53,9.8
0.25,0.27,4.7,0.031,31,92,0.992,0.33,12.0
0.42,0.34,2.4,0.022000000000000002,34,97,0.9890000000000001,0.38,12.8
0.46,0.31,5.0,0.027000000000000003,15,72,0.992,0.6,11.5
0.29,0.16,7.9,0.044000000000000004,48,197,0.995,0.36,9.4
0.2,0.37,11.8,0.045,58,130,0.995,0.35,10.8
0.27,0.37,7.9,0.047,58,215,0.995,0.48,9.5
0.12,0.3,3.1,0.018000000000000002,15,37,0.99,0.52,11.9
0.34,0.58,11.1,0.039,41,151,0.998,0.49,8.6
0.22,0.23,17.3,0.047,37,118,0.9990000000000001,0.46,8.8
0.27,0.26,11.8,0.053,55,173,0.997,0.6,9.8
0.32,0.48,13.3,0.06,57,196,0.998,0.5,9.2
0.32,0.32,1.5,0.037000000000000005,12,76,0.99,0.46,12.3
0.38,0.28,2.8,0.043,17,67,0.9890000000000001,0.47,13.2
0.33,0.48,19.5,0.048,55,243,1.001,0.4,8.8
0.23,0.36,17.2,0.039,37,130,0.9990000000000001,0.43,8.8
0.19,0.31,6.3,0.034,17,103,0.993,0.52,11.4
0.31,0.47,3.0,0.053,46,144,0.993,0.76,10.0
0.24,0.29,1.1,0.046,34,84,0.99,0.39,11.5
0.2,0.49,1.6,0.053,15,144,0.993,0.47,10.5
0.21,0.35,2.5,0.04,41,186,0.991,0.56,12.5
0.34,0.24,3.3,0.034,29,99,0.99,0.4,12.3
0.29,0.33,9.1,0.036000000000000004,28,118,0.995,0.4,10.9
0.11,0.26,14.8,0.053,44,95,0.997,0.35,9.8
0.42,0.34,4.3,0.04,34,108,0.992,0.45,12.8
0.16,0.32,1.1,0.036000000000000004,74,184,0.991,0.41,11.0
0.36,0.28,13.6,0.048,51,189,0.998,0.6,9.5
0.27,0.32,4.5,0.032,58,178,0.99,0.31,12.6
0.17,0.31,1.6,0.037000000000000005,15,103,0.991,0.5,12.0
0.18,0.36,1.4,0.043,31,87,0.99,0.37,12.7
0.3,0.27,11.6,0.027999999999999997,22,97,0.993,0.38,11.7
0.32,0.35,1.5,0.039,24,125,0.992,0.64,12.2
0.39,0.31,5.3,0.16899999999999998,32,162,0.997,0.48,9.4
0.38,0.2,5.3,0.11699999999999999,57,181,0.995,0.43,9.5
0.19,0.27,13.9,0.057,45,155,0.998,0.41,8.8
0.18,0.32,9.6,0.052000000000000005,24,90,0.996,0.49,9.4
0.32,0.37,3.4,0.023,19,87,0.99,0.53,12.7
0.23,0.2,11.4,0.044000000000000004,45,131,0.996,0.51,9.7
0.6,0.0,1.3,0.042,24,79,0.9940000000000001,0.38,9.4
0.18,0.39,14.5,0.051,48,156,0.9990000000000001,0.78,9.1
0.31,0.28,1.6,0.05,33,137,0.993,0.56,10.5
0.27,0.19,6.6,0.045,98,175,0.9940000000000001,0.34,10.1
0.19,0.39,8.0,0.027999999999999997,22,84,0.9940000000000001,0.66,10.8
0.24,0.33,1.7,0.035,47,136,0.99,0.4,12.6
0.31,0.73,14.4,0.044000000000000004,27,191,1.0,0.88,8.7
0.24,0.34,2.7,0.047,65,219,0.993,0.58,9.7
0.31,0.24,7.1,0.031,28,141,0.9940000000000001,0.38,10.6
0.56,0.26,10.9,0.06,55,193,0.997,0.44,9.4
0.26,0.3,1.0,0.036000000000000004,38,114,0.993,0.48,9.4
0.3,0.29,16.9,0.054000000000000006,23,135,1.0,0.38,9.0
0.35,0.67,8.3,0.053,10,100,0.996,0.5,10.9
0.56,0.26,4.5,0.053,17,126,0.9940000000000001,0.46,9.1
0.13,0.28,5.7,0.038,56,190,0.995,0.43,10.6
0.15,0.4,1.3,0.036000000000000004,24,112,0.993,0.76,10.0
0.36,0.28,2.5,0.035,18,73,0.9890000000000001,0.47,12.8
0.3,0.09,6.3,0.042,36,138,0.9940000000000001,0.48,9.7
0.33,0.39,12.4,0.065,29,119,0.997,0.39,9.4
0.18,0.42,2.1,0.036000000000000004,33,187,0.9940000000000001,0.41,10.6
0.34,0.26,2.2,0.021,31,119,0.9890000000000001,0.49,13.0
0.24,0.27,1.9,0.048,40,170,0.9940000000000001,0.54,10.0
0.24,0.29,10.1,0.05,21,105,0.996,0.35,9.5
0.3,0.4,1.8,0.027999999999999997,23,122,0.991,0.39,10.9
0.26,0.31,1.6,0.04,39,173,0.992,0.51,11.4
0.17,0.33,6.0,0.036000000000000004,30,111,0.9940000000000001,0.58,10.1
0.12,0.32,1.4,0.06,47,150,0.995,0.42,9.2
0.24,0.29,8.5,0.037000000000000005,124,208,0.9940000000000001,0.38,11.0
0.21,0.37,2.5,0.048,70,138,0.992,0.75,11.4
0.27,0.37,0.9,0.025,11,49,0.988,0.33,13.1
0.36,0.49,11.3,0.046,87,221,0.998,0.43,9.2
0.16,0.32,8.8,0.038,38,118,0.9940000000000001,0.41,10.7
0.25,0.54,1.3,0.04,16,160,0.9940000000000001,0.43,10.5
0.37,0.51,11.8,0.044000000000000004,62,163,0.998,0.44,8.8
0.18,0.3,12.8,0.062,19,171,0.998,0.52,9.0
0.27,0.33,1.4,0.042,24,183,0.992,0.46,10.7
0.23,0.41,14.6,0.048,73,223,0.9990000000000001,0.71,9.4
0.23,0.25,11.3,0.031,13,96,0.996,0.4,10.8
0.29,0.26,1.6,0.044000000000000004,12,87,0.992,0.46,10.5
0.22,0.49,7.5,0.054000000000000006,42,151,0.995,0.52,10.1
0.16,0.32,12.5,0.035,18,156,0.997,0.36,9.0
0.4,0.3,1.6,0.047,30,117,0.993,0.48,10.1
0.31,0.26,2.2,0.051,28,167,0.993,0.47,10.4
0.33,0.24,16.1,0.045,31,147,0.998,0.52,9.2
0.22,0.32,4.9,0.046,50,156,0.993,0.55,11.2
0.33,0.41,13.7,0.045,44,197,0.9990000000000001,0.64,9.1
0.28,0.23,6.0,0.051,50,162,0.9940000000000001,0.52,10.2
0.23,0.33,5.8,0.04,25,136,0.995,0.58,9.5
0.26,0.15,1.3,0.06,51,154,0.9940000000000001,0.51,8.7
0.29,0.15,1.1,0.028999999999999998,12,83,0.99,0.4,11.4
0.2,0.74,4.5,0.044000000000000004,33,130,0.992,0.42,12.2
0.43,0.34,7.6,0.045,25,118,0.992,0.37,11.0
0.31,0.4,6.4,0.039,39,191,0.995,0.52,9.8
0.28,0.28,2.2,0.019,15,65,0.99,0.52,11.2
0.3,0.27,10.6,0.039,31,119,0.998,0.3,9.3
0.4,0.25,3.9,0.031,45,130,0.991,0.58,11.8
0.23,0.32,1.7,0.024,26,102,0.991,0.6,11.8
0.29,0.29,13.2,0.046,26,113,0.998,0.37,9.7
0.24,0.22,10.7,0.042,26,81,0.995,0.36,9.7
0.24,0.33,12.3,0.046,31,145,0.998,0.4,9.5
0.14,0.29,9.9,0.055999999999999994,30,91,0.995,0.33,9.9
0.24,0.19,1.2,0.040999999999999995,30,111,0.993,0.46,9.4
0.24,0.32,9.0,0.023,20,109,0.993,0.35,12.6
0.25,0.56,2.0,0.035,20,95,0.992,0.53,11.0
0.23,0.31,2.8,0.047,40,122,0.991,0.64,10.9
0.29,0.35,1.4,0.036000000000000004,42,109,0.991,0.62,11.6
0.41,0.01,6.1,0.048,20,70,0.9940000000000001,0.42,10.0
0.28,0.37,9.1,0.037000000000000005,16,76,0.995,0.54,11.1
0.28,0.42,8.2,0.044000000000000004,60,196,0.996,0.48,9.4
0.32,0.43,1.6,0.05,4,65,0.993,0.47,10.7
0.33,0.26,15.6,0.049,67,210,0.9990000000000001,0.68,9.5
0.16,0.32,8.3,0.045,38,126,0.996,0.34,9.2
0.58,0.27,12.2,0.033,37,116,0.996,0.39,10.8
0.21,0.28,1.4,0.047,48,148,0.992,0.49,10.4
0.19,0.26,2.1,0.039,8,143,0.9940000000000001,0.74,9.8
0.4,0.32,7.9,0.031,23,118,0.992,0.46,13.3
0.19,0.39,1.2,0.036000000000000004,32,85,0.992,0.5,10.5
0.42,0.46,9.7,0.054000000000000006,67,234,0.998,0.5,9.0
0.42,0.33,2.8,0.034,15,85,0.99,0.51,13.4
0.25,0.29,2.0,0.042,19,189,0.995,0.54,10.2
0.24,0.49,4.9,0.032,3,18,0.9940000000000001,0.54,10.0
0.31,0.41,8.6,0.053,15,89,0.998,0.64,9.9
0.23,0.45,10.6,0.094,49,169,0.997,0.54,8.8
0.3,0.3,8.7,0.022000000000000002,14,111,0.996,0.61,10.6
0.31,0.18,7.7,0.043,57,200,0.996,0.44,9.4
0.34,0.14,1.3,0.036000000000000004,69,168,0.992,0.46,10.5
0.32,0.4,8.7,0.038,45,154,0.996,0.47,10.4
0.17,0.27,4.6,0.05,23,98,0.9940000000000001,0.47,9.5
0.34,0.25,6.4,0.035,38,103,0.991,0.23,12.2
0.24,0.34,1.4,0.031,27,107,0.99,0.39,11.9
0.26,0.29,11.9,0.052000000000000005,54,160,0.995,0.58,10.4
0.28,0.27,2.1,0.036000000000000004,42,121,0.993,0.49,10.8
0.52,0.34,1.2,0.042,18,167,0.9940000000000001,0.39,10.6
0.27,0.24,12.6,0.044000000000000004,48,118,0.997,0.56,10.0
0.29,0.29,1.8,0.036000000000000004,38,102,0.988,0.42,13.7
0.18,0.42,5.1,0.036000000000000004,7,77,0.9940000000000001,0.52,11.7
0.23,0.25,1.4,0.049,43,141,0.993,0.54,10.2
